City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Buchanan,LR,5.8808,-10.0467,76.96,89,49,4.05,scattered clouds
191,Dhidhdhoo,MV,6.8833,73.1,82.65,80,84,17.05,broken clouds
192,Kloulklubed,PW,7.0419,134.2556,83.8,77,100,20.24,overcast clouds
193,Joshimath,IN,30.5667,79.5667,64.35,31,0,2.15,clear sky
194,Klaksvik,FO,62.2266,-6.589,50.92,86,99,24.07,overcast clouds
195,Alta Floresta,BR,-9.8756,-56.0861,76.73,68,4,2.53,clear sky
196,Dwarka,IN,22.2394,68.9678,82.11,81,23,7.0,few clouds
197,Angoram,PG,-4.0625,144.0661,76.1,97,100,2.89,overcast clouds
198,Iqaluit,CA,63.7506,-68.5145,35.33,93,90,0.0,overcast clouds
199,Hambantota,LK,6.1241,81.1185,79.14,100,90,8.05,overcast clouds
200,Touros,BR,-5.1989,-35.4608,77.9,78,80,13.6,broken clouds
201,Xinxiang,CN,35.3089,113.8672,64.31,64,100,9.84,light rain
202,Dubbo,AU,-32.25,148.6167,77.13,50,40,12.66,scattered clouds
203,Prince George,CA,53.9166,-122.753,45.84,92,75,21.85,broken clouds
204,Santa Marta,CO,11.2408,-74.199,79.83,83,8,9.51,clear sky
205,Khorramshahr,IR,30.4397,48.1664,75.16,29,0,9.22,clear sky
206,Bethel,US,41.3712,-73.414,62.04,84,100,9.08,overcast clouds
207,Goderich,CA,43.7501,-81.7165,65.03,91,11,15.08,few clouds
208,Pokhara,NP,28.2333,83.9833,71.44,76,51,0.65,broken clouds
209,Namatanai,PG,-3.6667,152.4333,85.28,67,41,8.37,scattered clouds
210,Atuona,PF,-9.8,-139.0333,78.33,72,11,16.91,few clouds
211,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,90,8.05,light rain
212,Las Vegas,US,36.175,-115.1372,74.64,20,20,3.0,few clouds
213,Urrao,CO,6.3152,-76.1342,63.39,98,100,1.19,overcast clouds
214,Nishihara,JP,26.1842,127.7558,85.28,74,40,20.71,light rain
215,Balakhta,RU,55.38,91.6,44.13,68,100,11.9,overcast clouds
216,Xuddur,SO,4.1213,43.8894,71.33,89,34,10.58,scattered clouds
217,Carnarvon,AU,-24.8667,113.6333,75.27,27,0,17.27,clear sky
218,Dunedin,NZ,-45.8742,170.5036,58.8,67,10,13.0,clear sky
219,Koslan,RU,63.4564,48.8989,32.52,73,100,3.2,overcast clouds
220,Fort Nelson,CA,58.8053,-122.7002,51.39,25,40,12.66,scattered clouds
221,Defiance,US,41.3334,-84.45,71.11,83,80,7.47,broken clouds
222,Ucluelet,CA,48.9329,-125.5528,56.08,93,100,7.02,overcast clouds
223,Mayo,US,38.8876,-76.5119,68.95,84,100,13.0,overcast clouds
224,Palembang,ID,-2.9167,104.7458,82.49,83,20,9.22,few clouds
225,Stillwater,US,36.1156,-97.0584,84.85,51,6,1.01,clear sky
226,Hirara,JP,24.8,125.2833,85.86,79,40,21.85,scattered clouds
227,Madimba,TZ,-10.4,40.3333,74.32,87,70,6.08,broken clouds
228,Nicoya,CR,10.1483,-85.452,74.75,89,100,1.72,overcast clouds
229,Ferrol,ES,43.4832,-8.2369,61.68,79,3,13.51,clear sky
230,Makungu,TZ,-8.7333,35.2833,57.15,97,72,2.66,broken clouds
231,Puerto Escondido,MX,15.85,-97.0667,79.74,85,100,10.87,overcast clouds
232,Amberieu-En-Bugey,FR,45.9589,5.3432,55.29,92,71,1.9,broken clouds
233,Kyren,RU,51.6828,102.1408,41.32,58,66,2.26,broken clouds
234,Hovd,MN,48.0056,91.6419,37.74,28,8,0.51,clear sky
235,Hobyo,SO,5.3505,48.5268,78.26,85,14,10.87,few clouds
236,Jalu,LY,29.0331,21.5482,73.76,33,0,9.71,clear sky
237,Leh,IN,34.1667,77.5833,43.45,41,0,4.68,clear sky
238,Lebork,PL,54.5392,17.7501,40.91,65,19,4.27,few clouds
239,Zonguldak,TR,41.25,31.8333,49.32,96,21,2.51,few clouds
240,Waddan,LY,29.1614,16.139,75.07,20,0,11.81,clear sky
241,Taoudenni,ML,22.6783,-3.9836,89.33,10,56,5.88,broken clouds
242,Rozmital Pod Tremsinem,CZ,49.602,13.8643,38.16,100,0,1.01,snow
243,Vardo,NO,70.3705,31.1107,42.22,90,100,6.69,overcast clouds
244,Barcelos,PT,41.5388,-8.6151,69.91,60,72,5.17,broken clouds
245,Norden,DE,53.6,7.2,44.94,97,51,8.66,broken clouds
246,Lompoc,US,34.6391,-120.4579,65.79,87,40,4.0,scattered clouds
247,Cordoba,AR,-31.4135,-64.1811,67.24,48,0,4.61,clear sky
248,Sorland,NO,67.667,12.6934,51.28,93,100,24.36,overcast clouds
249,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,51.17,90,100,16.49,overcast clouds
250,Palmer,US,42.1584,-72.3287,58.98,74,100,7.49,overcast clouds
251,Asau,RO,46.4333,26.4,37.76,83,1,4.18,light snow
252,Vagur,FO,61.4732,-6.8119,50.09,85,100,30.0,overcast clouds
253,Karratha,AU,-20.7377,116.8463,85.55,25,0,21.56,clear sky
254,Matara,LK,5.9485,80.5353,80.96,83,100,11.65,overcast clouds
255,Opuwo,NA,-18.0607,13.84,70.56,21,0,2.28,clear sky
256,Izhevskoye,RU,54.5567,40.8703,36.3,80,10,4.74,clear sky
257,Wewak,PG,-3.5534,143.6268,79.07,89,100,6.4,overcast clouds
258,Cherskiy,RU,68.75,161.3,12.85,94,86,6.04,overcast clouds
259,Hohhot,CN,40.8106,111.6522,39.49,48,0,4.47,clear sky
260,Jiaonan,CN,35.8786,119.9753,62.62,87,100,18.16,overcast clouds
261,Saint-Pierre,RE,-21.3393,55.4781,69.44,73,20,6.91,light rain
262,Yulara,AU,-25.2406,130.9889,66.04,52,75,17.27,broken clouds
263,Bemidji,US,47.4736,-94.8803,62.89,100,90,12.66,overcast clouds
264,Caravelas,BR,-17.7125,-39.2481,73.67,74,100,7.49,overcast clouds
265,Tiksi,RU,71.6872,128.8694,21.25,90,90,0.36,overcast clouds
266,Anadyr,RU,64.75,177.4833,27.1,92,75,4.0,light snow
267,Matamoros,MX,25.5333,-103.25,79.12,22,0,3.91,clear sky
268,Vostok,RU,46.4856,135.8833,45.91,98,100,4.83,light rain
269,Kangaatsiaq,GL,68.3065,-53.4641,30.4,78,100,14.81,light snow
270,La Asuncion,VE,11.0333,-63.8628,79.03,86,42,7.45,scattered clouds
271,Coihaique,CL,-45.5752,-72.0662,45.97,93,94,6.46,overcast clouds
272,Guerrero Negro,MX,27.9769,-114.0611,70.25,60,0,21.97,clear sky
273,Castrovillari,IT,39.8203,16.2123,57.29,86,100,1.72,overcast clouds
274,Port Blair,IN,11.6667,92.75,80.64,94,75,4.61,mist
275,Port Pirie,AU,-33.1833,138.0167,57.29,44,100,10.6,overcast clouds
276,Chingirlau,KZ,51.095,54.0814,39.65,63,0,7.7,clear sky
277,Mackay,AU,-21.15,149.2,83.68,61,40,12.66,scattered clouds
278,Portland,US,45.5234,-122.6762,61.34,74,90,1.01,overcast clouds
279,Dolores,AR,-36.3132,-57.6792,45.7,93,0,7.27,clear sky
280,Guane,CU,22.2025,-84.0875,77.09,88,0,4.05,clear sky
281,Kuopio,FI,62.8924,27.677,51.75,87,90,8.05,overcast clouds
282,Champerico,GT,14.3,-91.9167,83.35,81,100,5.32,overcast clouds
283,Cotonou,BJ,6.3654,2.4183,76.98,94,40,8.05,thunderstorm
284,Saint-Francois,FR,46.4154,3.9054,40.48,100,90,0.0,fog
285,Dauphin,CA,51.1494,-100.0502,42.94,81,1,0.0,haze
286,Birjand,IR,32.8663,59.2211,46.87,42,0,6.91,clear sky
287,Barrow,US,71.2906,-156.7887,27.59,87,100,11.05,overcast clouds
288,Moose Factory,CA,51.2585,-80.6094,64.4,88,90,3.44,overcast clouds
289,Najran,SA,17.4924,44.1277,74.05,43,21,2.59,few clouds
290,Rincon,US,32.296,-81.2354,72.05,97,0,4.9,clear sky
291,Helena,US,46.5927,-112.0361,51.3,41,66,3.0,broken clouds
292,Ponta Do Sol,PT,32.6667,-17.1,72.23,76,23,4.88,few clouds
293,Nanchang,CN,28.6833,115.8833,79.32,71,99,15.21,overcast clouds
294,Yellowknife,CA,62.456,-114.3525,41.56,100,90,0.0,light rain
295,Biak,ID,-0.9131,122.8766,83.17,66,98,6.2,overcast clouds
296,Bathsheba,BB,13.2167,-59.5167,75.81,94,75,18.41,broken clouds
297,Kotelnich,RU,58.3089,48.348,42.58,94,100,4.05,overcast clouds
298,San Patricio,US,28.017,-97.5169,80.83,68,0,10.04,clear sky
299,Fortuna,US,40.5982,-124.1573,57.33,57,0,1.01,clear sky
300,Buala,SB,-8.145,159.5921,84.58,69,100,3.13,light rain
301,Ndele,CF,8.4109,20.6473,73.09,76,100,2.66,overcast clouds
302,Boueni,YT,-12.9025,45.0761,71.58,76,21,6.96,few clouds
303,Sibolga,ID,1.7427,98.7792,83.57,73,35,1.12,scattered clouds
304,Ambilobe,MG,-13.2,49.05,68.07,73,30,4.43,scattered clouds
305,Olafsvik,IS,64.8945,-23.7142,41.16,80,89,8.93,overcast clouds
306,Narsaq,GL,60.9167,-46.05,31.15,45,13,7.23,few clouds
307,Inhambane,MZ,-23.865,35.3833,67.68,84,8,8.66,clear sky
308,Lebu,CL,-37.6167,-73.65,49.48,95,4,7.67,clear sky
